shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
TAE:AUTO_6042079,49.30397,1.018168,17,4831
TAE:AUTO_6042079,49.305814,1.024925,18,5364
TAE:AUTO_6042079,49.308374,1.036711,19,6267
TAE:AUTO_6042079,49.30987,1.0444,20,6850
TAE:AUTO_6042079,49.32827,1.09924,21,11332
TAE:AUTO_6042079,49.327975,1.09557,22,11601
TAE:AUTO_6042079,49.329219,1.093977,23,11781
TAE:AUTO_6042079,49.330837,1.098002,24,12125
TAE:AUTO_6042079,49.33152,1.09984,25,12278
TAE:AUTO_6042079,49.3422,1.101,26,13469
TAE:AUTO_6042080,49.276,1.005,1,0
TAE:AUTO_6042080,49.277352,1.005475,2,154
TAE:AUTO_6042080,49.2789,1.008283,3,421
TAE:AUTO_6042080,49.281247,1.007824,4,684
TAE:AUTO_6042080,49.284578,1.00852,5,1058
TAE:AUTO_6042080,49.287643,1.008033,6,1401
TAE:AUTO_6042080,49.288956,1.005984,7,1609
TAE:AUTO_6042080,49.290046,1.003432,8,1831
TAE:AUTO_6042080,49.29193,1.00354,9,2041
TAE:AUTO_6042080,49.297187,1.006674,10,2668
TAE:AUTO_6042080,49.2992,1.0081,11,2915
TAE:AUTO_6042080,49.302384,1.010043,12,3296
TAE:AUTO_6042080,49.30066,1.013839,13,3632
TAE:AUTO_6042080,49.300417,1.019577,14,4051
TAE:AUTO_6042080,49.301202,1.02265,15,4291
TAE:AUTO_6042080,49.302179,1.02573,16,4540
TAE:AUTO_6042080,49.303485,1.029947,17,4879
TAE:AUTO_6042080,49.302587,1.032695,18,5102
TAE:AUTO_6042080,49.304112,1.036858,19,5449
TAE:AUTO_6042080,49.30452,1.04057,20,5723
TAE:AUTO_6042080,49.30403,1.04194,21,5837
TAE:AUTO_6042080,49.307533,1.039017,22,6280
TAE:AUTO_6042080,49.3095,1.038183,23,6507
TAE:AUTO_6042080,49.311227,1.034797,24,6820
TAE:AUTO_6042080,49.3139,1.03325,25,7138
TAE:AUTO_6042081,49.314363,1.032767,1,0
TAE:AUTO_6042081,49.311146,1.034605,2,381
TAE:AUTO_6042081,49.309633,1.037917,3,675
TAE:AUTO_6042081,49.307217,1.039,4,955
TAE:AUTO_6042081,49.30403,1.04194,5,1369
TAE:AUTO_6042081,49.30452,1.0403,6,1500
TAE:AUTO_6042081,49.304189,1.037043,7,1740
TAE:AUTO_6042081,49.302547,1.033165,8,2076
TAE:AUTO_6042081,49.303528,1.029913,9,2336
TAE:AUTO_6042081,49.302336,1.026002,10,2650
TAE:AUTO_6042081,49.301312,1.022612,11,2922
TAE:AUTO_6042081,49.300465,1.019525,12,3165
TAE:AUTO_6042081,49.300742,1.013721,13,3589
TAE:AUTO_6042081,49.302482,1.010039,14,3919
TAE:AUTO_6042081,49.2996,1.0081,15,4269
TAE:AUTO_6042081,49.297047,1.006488,16,4576
TAE:AUTO_6042081,49.29182,1.00337,17,5200
TAE:AUTO_6042081,49.290022,1.003119,18,5401
TAE:AUTO_6042081,49.289313,1.005263,19,5576
TAE:AUTO_6042081,49.287337,1.008356,20,5890
TAE:AUTO_6042081,49.28415,1.00834,21,6245
TAE:AUTO_6042081,49.280932,1.007624,22,6607
TAE:AUTO_6042081,49.278933,1.008217,23,6833
TAE:AUTO_6042081,49.277479,1.006281,24,7047
TAE:AUTO_6042081,49.276,1.005,25,7237
TAE:AUTO_6042082,49.2766,1.0413,1,0
TAE:AUTO_6042082,49.274752,1.035937,2,441
TAE:AUTO_6042082,49.275781,1.034282,3,607
TAE:AUTO_6042082,49.277425,1.031619,4,873
TAE:AUTO_6042082,49.278399,1.027961,5,1160
TAE:AUTO_6042082,49.276047,1.02627,6,1450
TAE:AUTO_6042082,49.277929,1.025317,7,1670
TAE:AUTO_6042082,49.280037,1.023702,8,1932
TAE:AUTO_6042082,49.281352,1.020787,9,2190
TAE:AUTO_6042082,49.28236,1.0182,10,2409
TAE:AUTO_6042082,49.284733,1.018864,11,2677
TAE:AUTO_6042082,49.28714,1.0194,12,2948
TAE:AUTO_6042082,49.287131,1.016117,13,3187
TAE:AUTO_6042082,49.28709,1.01198,14,3488
TAE:AUTO_6042082,49.287643,1.008033,15,3781
TAE:AUTO_6042082,49.288956,1.005984,16,3990
TAE:AUTO_6042082,49.290046,1.003432,17,4212
TAE:AUTO_6042082,49.29193,1.00354,18,4421
TAE:AUTO_6042082,49.297187,1.006674,19,5049
TAE:AUTO_6042082,49.2992,1.0081,20,5296
TAE:AUTO_6042082,49.302384,1.010043,21,5677
TAE:AUTO_6042082,49.302505,1.013977,22,5963
TAE:AUTO_6042082,49.30397,1.018168,23,6309
TAE:AUTO_6042082,49.305814,1.024925,24,6841
TAE:AUTO_6042082,49.308374,1.036711,25,7745
TAE:AUTO_6042082,49.30987,1.0444,26,8328
TAE:AUTO_6042082,49.329685,1.099378,27,12892
TAE:AUTO_6042082,49.33152,1.09984,28,13099
TAE:AUTO_6042082,49.3422,1.101,29,14290
TAE:AUTO_6042083,49.3426,1.1011,1,0
TAE:AUTO_6042083,49.3407,1.10146,2,212
TAE:AUTO_6042083,49.33155,1.09978,3,1237
TAE:AUTO_6042083,49.329277,1.099355,4,1492
TAE:AUTO_6042083,49.31,1.0441,5,6045
TAE:AUTO_6042083,49.308533,1.036593,6,6615
TAE:AUTO_6042083,49.305856,1.024519,7,7542
TAE:AUTO_6042083,49.304232,1.018546,8,8013
TAE:AUTO_6042083,49.302332,1.013279,9,8450
TAE:AUTO_6042083,49.302482,1.010039,10,8687
TAE:AUTO_6042083,49.2996,1.0081,11,9037
TAE:AUTO_6042083,49.297047,1.006488,12,9344
TAE:AUTO_6042083,49.29182,1.00337,13,9968
TAE:AUTO_6042083,49.290022,1.003119,14,10169
TAE:AUTO_6042083,49.289313,1.005263,15,10343
TAE:AUTO_6042083,49.287337,1.008356,16,10658
TAE:AUTO_6042083,49.287,1.01267,17,10974
TAE:AUTO_6042083,49.287044,1.017248,18,11307
TAE:AUTO_6042083,49.28708,1.01924,19,11452
TAE:AUTO_6042083,49.284789,1.018806,20,11709
TAE:AUTO_6042083,49.283207,1.017787,21,11900
TAE:AUTO_6042083,49.281207,1.020949,22,12220
TAE:AUTO_6042083,49.2801,1.023467,23,12440
TAE:AUTO_6042083,49.2779,1.02521,24,12716
TAE:AUTO_6042083,49.275766,1.025569,25,12955
TAE:AUTO_6042083,49.277975,1.02787,26,13252
TAE:AUTO_6042083,49.277382,1.031563,27,13529
TAE:AUTO_6042083,49.275748,1.034211,28,13794
TAE:AUTO_6042083,49.274349,1.036451,29,14019
TAE:AUTO_6042083,49.2766,1.04157,30,14468
TAE:AUTO_6042084,49.43875,1.0901,1,0
TAE:AUTO_6042084,49.43716,1.09567,2,440
TAE:AUTO_6042084,49.43383,1.09157,3,915
TAE:AUTO_6042084,49.43048,1.08598,4,1466
TAE:AUTO_6042084,49.41355,1.07366,5,3550
TAE:AUTO_6042084,49.39215,1.05783,6,6193
TAE:AUTO_6042084,49.35077,1.02516,7,11371
TAE:AUTO_6042084,49.34566,1.02084,8,12020
TAE:AUTO_6042084,49.33647,1.01292,9,13193
TAE:AUTO_6042084,49.318116,0.993828,10,15662
TAE:AUTO_6042084,49.311,0.99605,11,16469
TAE:AUTO_6042084,49.305194,0.992757,12,17158
TAE:AUTO_6042084,49.293304,1.001608,13,18629
TAE:AUTO_6042084,49.291264,1.003938,14,18912
TAE:AUTO_6042084,49.290922,1.006927,15,19133
TAE:AUTO_6042084,49.2913,1.0144,16,19678
TAE:AUTO_6042085,49.2904,1.0142,1,0
TAE:AUTO_6042085,49.290953,1.007245,2,509
TAE:AUTO_6042085,49.291394,1.003915,3,756
TAE:AUTO_6042085,49.2928,1.00145,4,994
TAE:AUTO_6042085,49.304558,0.992709,5,2448
TAE:AUTO_6042085,49.310673,0.996083,6,3171
TAE:AUTO_6042085,49.318113,0.99401,7,4012
TAE:AUTO_6042085,49.3364,1.013043,8,6472
TAE:AUTO_6042085,49.34482,1.02005,9,7538
TAE:AUTO_6042085,49.35041,1.02484,10,8251
TAE:AUTO_6042085,49.39232,1.0585,11,13514
TAE:AUTO_6042085,49.41345,1.07365,12,16108
TAE:AUTO_6042085,49.43044,1.08613,13,18204
TAE:AUTO_6042085,49.433926,1.091889,14,18774
TAE:AUTO_6042085,49.43762,1.09508,15,19245
TAE:AUTO_6042085,49.43855,1.0909,16,19565
TAE:AUTO_6042086,49.290194,1.013536,1,0
TAE:AUTO_6042086,49.289,1.00735,2,469
TAE:AUTO_6042086,49.288956,1.005984,3,568
TAE:AUTO_6042086,49.290046,1.003432,4,790
TAE:AUTO_6042086,49.290518,1.000938,5,979
TAE:AUTO_6042086,49.291246,0.998593,6,1168
TAE:AUTO_6042086,49.297282,0.994501,7,1902
TAE:AUTO_6042086,49.301178,0.992528,8,2358
TAE:AUTO_6042086,49.304558,0.992709,9,2735
TAE:AUTO_6042086,49.310673,0.996083,10,3458
TAE:AUTO_6042086,49.318113,0.99401,11,4299
TAE:AUTO_6042086,49.335821,1.013527,12,6726
TAE:AUTO_6042086,49.333708,1.020962,13,7315
TAE:AUTO_6042086,49.336753,1.025585,14,7792
TAE:AUTO_6042086,49.339233,1.023177,15,8119
TAE:AUTO_6042086,49.342121,1.022196,16,8448
